Parish Code,Parish Name,S/T/R Meridian
01,ACADIA,W
02,ALLEN,W
03,ASCENSION,
04,ASSUMPTION,W
05,AVOYELLES,W
06,BEAUREGARD,W
07,BIENVILLE,W
08,BOSSIER,W
09,CADDO,W
10,CALCASIEU,W
11,CALDWELL,W
12,CAMERON,W
13,CATAHOULA,W
14,CLAIBORNE,W
15,CONCORDIA,W
16,DE SOTO,W
17,EAST BATON ROUGE,E
18,EAST CARROLL,W
19,EAST FELICIANA,E
20,EVANGELINE,W
21,FRANKLIN,W
22,GRANT,W
23,IBERIA,W
24,IBERVILLE,
25,JACKSON,W
26,JEFFERSON,
27,JEFFERSON DAVIS,W
28,LAFAYETTE,W
29,LAFOURCHE,W
30,LASALLE,W
31,LINCOLN,W
32,LIVINGSTON,E
33,MADISON,W
34,MOREHOUSE,W
35,NATCHITOCHES,W
36,ORLEANS,
37,OUACHITA,W
38,PLAQUEMINES,
39,POINTE COUPEE,W
40,RAPIDES,W
41,RED RIVER,W
42,RICHLAND,W
43,SABINE,W
44,SAINT BERNARD,E
45,SAINT CHARLES,
46,SAINT HELENA,E
47,SAINT JAMES,
48,SAINT JOHN THE BAPTIST,
49,SAINT LANDRY,W
50,SAINT MARTIN,W
51,SAINT MARY,W
52,SAINT TAMMANY,E
53,TANGIPAHOA,E
54,TENSAS,W
55,TERREBONNE,W
56,UNION,W
57,VERMILION,W
58,VERNON,W
59,WASHINGTON,E
60,WEBSTER,W
61,WEST BATON ROUGE,W
62,WEST CARROLL,W
63,WEST FELICIANA,E
64,WINN,W
65,*STATEWIDE* - OFFICIAL STATE JOURNAL,
66,ATCHAFALAYA BAY,
67,COASTWIDE,
68,OFFSHORE,
69,OUT OF STATE,
ZZZZZ,VIRTUAL/BAD DATA,
